,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundred,fifties,duck,fours,sixes
1,Babar Azam (PAK),2016-2021,47,45,9,1730,97*,48.05,1328,130.27,0,16,2,179,24
2,V Kohli (INDIA),2016-2021,49,46,14,1687,94*,52.71,1160,145.43,0,14,3,132,61
3,RG Sharma (INDIA),2016-2021,53,52,4,1579,118,32.89,1072,147.29,3,11,3,138,85
4,KL Rahul (INDIA),2016-2021,48,44,6,1543,110*,40.6,1078,143.13,2,12,4,136,63
5,AJ Finch (AUS),2016-2021,45,45,7,1430,172,37.63,943,151.64,1,8,5,138,64
6,PR Stirling (IRE),2017-2020,41,41,2,1373,95,35.2,939,146.21,0,13,4,152,53
7,C Munro (NZ),2016-2020,41,41,2,1335,109*,34.23,856,155.95,3,8,4,109,79
8,S Dhawan (INDIA),2016-2021,46,44,1,1299,92,30.2,995,130.55,0,9,0,137,39
9,GJ Maxwell (AUS),2016-2021,42,39,6,1278,145*,38.72,807,158.36,3,7,0,100,66
10,MJ Guptill (NZ),2016-2021,41,39,0,1167,105,29.92,797,146.42,1,8,1,96,70
11,KJ O'Brien (IRE),2016-2020,45,45,1,1108,124,25.18,751,147.53,1,3,2,96,54
12,E Lewis (WI),2016-2021,35,34,2,989,125*,30.9,635,155.74,2,6,3,70,77
13,JC Buttler (ENG),2016-2021,34,32,6,984,83*,37.84,684,143.85,0,8,2,93,39
14,KS Williamson (NZ),2016-2021,36,36,3,953,95,28.87,766,124.41,0,8,2,80,31
15,Shoaib Malik (ICC/PAK),2016-2020,41,35,14,948,58*,45.14,632,150,0,3,0,73,34
16,EJG Morgan (ENG),2016-2021,43,39,7,946,91,29.56,644,146.89,0,7,2,66,54
17,DJ Malan (ENG),2017-2021,22,22,4,921,103*,51.16,632,145.72,1,9,0,99,32
18,JJ Roy (ENG),2016-2021,32,32,0,875,78,27.34,590,148.3,0,5,4,90,42
19,A Balbirnie (IRE),2018-2020,33,32,2,861,83,28.7,634,135.8,0,4,2,102,13
20,Mahmudullah (BDESH),2016-2020,37,36,9,861,62,31.88,667,129.08,0,2,0,75,24
21,Fakhar Zaman (PAK),2017-2020,40,38,0,838,91,22.05,625,134.08,0,4,2,94,25
22,MP O'Dowd (NL),2017-2019,31,31,1,831,69,27.7,679,122.38,0,6,0,82,18
23,JM Bairstow (ENG),2016-2021,30,28,5,823,86*,35.78,547,150.45,0,5,3,78,38
24,HG Munsey (SCOT),2017-2019,25,25,1,797,127*,33.2,505,157.82,1,4,1,79,43
25,DA Miller (SA/World),2016-2021,39,35,10,784,101*,31.36,535,146.54,1,2,0,52,41
26,Mohammad Nabi (AFG),2016-2021,37,34,7,765,89,28.33,497,153.92,0,3,1,48,50
27,LRPL Taylor (NZ),2016-2020,33,33,9,734,54*,30.58,580,126.55,0,2,2,42,26
28,BN Cooper (NL),2017-2019,28,28,4,729,91*,30.37,576,126.56,0,5,3,65,23
29,Q de Kock (SA),2016-2020,22,22,1,714,79*,34,483,147.82,0,6,1,65,36
30,Mohammad Hafeez (PAK),2016-2020,23,20,8,714,99*,59.5,517,138.1,0,5,2,57,32
31,MDKJ Perera (SL),2016-2020,25,24,0,697,77,29.04,508,137.2,0,7,0,63,24
32,TL Seifert (NZ),2018-2021,35,32,4,695,84*,24.82,522,133.14,0,5,2,57,37
33,MK Pandey (INDIA),2016-2020,37,31,17,690,79*,49.28,540,127.77,0,3,1,48,18
34,CS MacLeod (SCOT),2017-2019,25,24,5,670,74,35.26,542,123.61,0,4,1,64,12
35,DA Warner (AUS),2016-2020,24,24,6,670,100*,37.22,488,137.29,1,6,1,67,16
